-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.248,  0.280
-183.791, 80.174, 0.344,  0.313
-183.784, 80.160, 0.429,  0.346
-183.773, 80.141, 0.595,  0.379
-183.760, 80.117, 0.760,  0.412
-183.746, 80.086, 0.975,  0.445
-183.732, 80.047, 1.187,  0.478
-183.720, 80.003, 1.372,  0.511
-183.711, 79.953, 1.497,  0.544
-183.702, 79.901, 1.600,  0.577
-183.690, 79.847, 1.638,  0.610
-183.676, 79.794, 1.635,  0.643
-183.663, 79.740, 1.679,  0.676
-183.649, 79.685, 1.718,  0.709
-183.636, 79.627, 1.806,  0.742
-183.621, 79.565, 1.907,  0.775
-183.606, 79.500, 2.025,  0.808
-183.596, 79.431, 2.086,  0.841
-183.584, 79.363, 2.101,  0.874
-183.570, 79.295, 2.089,  0.907
-183.553, 79.228, 2.058,  0.940
-183.538, 79.162, 2.063,  0.973
-183.527, 79.094, 2.062,  1.006
-183.515, 79.027, 2.054,  1.039
-183.504, 78.960, 2.057,  1.072
-183.492, 78.893, 2.058,  1.105
-183.477, 78.826, 2.048,  1.138
-183.464, 78.759, 2.057,  1.171
-183.454, 78.692, 2.058,  1.204
-183.443, 78.624, 2.050,  1.237
-183.429, 78.558, 2.035,  1.270
-183.418, 78.491, 2.039,  1.303
-183.410, 78.424, 2.040,  1.336
-183.399, 78.357, 2.037,  1.369
-183.385, 78.291, 2.023,  1.402
-183.373, 78.225, 2.022,  1.435
-183.365, 78.158, 2.019,  1.468
-183.355, 78.091, 2.017,  1.501
-183.342, 78.026, 2.012,  1.534
-183.332, 77.959, 2.006,  1.567
-183.326, 77.893, 1.997,  1.600
-183.318, 77.827, 2.005,  1.633
-183.306, 77.761, 2.008,  1.666
-183.297, 77.695, 2.001,  1.699
-183.291, 77.629, 1.985,  1.732
